"year" "cites" "Name" "Department"
"1088" 2015 463 "Keith Ihlanfeldt" "Economics"
"1089" 2016 400 "Keith Ihlanfeldt" "Economics"
"1090" 2017 483 "Keith Ihlanfeldt" "Economics"
"1091" 2018 466 "Keith Ihlanfeldt" "Economics"
"1092" 2019 399 "Keith Ihlanfeldt" "Economics"
"1093" 2020 72 "Keith Ihlanfeldt" "Economics"
"1094" 1989 43 "Randall Holcombe" "Economics"
"1095" 1990 18 "Randall Holcombe" "Economics"
"1096" 1991 36 "Randall Holcombe" "Economics"
"1097" 1992 25 "Randall Holcombe" "Economics"
"1098" 1993 29 "Randall Holcombe" "Economics"
"1099" 1994 65 "Randall Holcombe" "Economics"
"1100" 1995 36 "Randall Holcombe" "Economics"
"1101" 1996 50 "Randall Holcombe" "Economics"
"1102" 1997 54 "Randall Holcombe" "Economics"
"1103" 1998 71 "Randall Holcombe" "Economics"
"1104" 1999 96 "Randall Holcombe" "Economics"
"1105" 2000 77 "Randall Holcombe" "Economics"
"1106" 2001 111 "Randall Holcombe" "Economics"
"1107" 2002 144 "Randall Holcombe" "Economics"
"1108" 2003 173 "Randall Holcombe" "Economics"
"1109" 2004 233 "Randall Holcombe" "Economics"
"1110" 2005 250 "Randall Holcombe" "Economics"
"1111" 2006 272 "Randall Holcombe" "Economics"
"1112" 2007 368 "Randall Holcombe" "Economics"
"1113" 2008 351 "Randall Holcombe" "Economics"
"1114" 2009 330 "Randall Holcombe" "Economics"
"1115" 2010 401 "Randall Holcombe" "Economics"
"1116" 2011 453 "Randall Holcombe" "Economics"
"1117" 2012 451 "Randall Holcombe" "Economics"
"1118" 2013 490 "Randall Holcombe" "Economics"
"1119" 2014 566 "Randall Holcombe" "Economics"
"1120" 2015 570 "Randall Holcombe" "Economics"
"1121" 2016 617 "Randall Holcombe" "Economics"
"1122" 2017 606 "Randall Holcombe" "Economics"
"1123" 2018 572 "Randall Holcombe" "Economics"
"1124" 2019 587 "Randall Holcombe" "Economics"
"1125" 2020 94 "Randall Holcombe" "Economics"
"1126" 2009 3 "Zachary Grossman" "Economics"
"1127" 2010 5 "Zachary Grossman" "Economics"
"1128" 2011 18 "Zachary Grossman" "Economics"
"1129" 2012 10 "Zachary Grossman" "Economics"
"1130" 2013 28 "Zachary Grossman" "Economics"
"1131" 2014 51 "Zachary Grossman" "Economics"
"1132" 2015 47 "Zachary Grossman" "Economics"
"1133" 2016 58 "Zachary Grossman" "Economics"
"1134" 2017 100 "Zachary Grossman" "Economics"
"1135" 2018 104 "Zachary Grossman" "Economics"
"1136" 2019 157 "Zachary Grossman" "Economics"
"1137" 2020 26 "Zachary Grossman" "Economics"
"1138" 2012 6 "Mikhail Dmitriev" "Economics"
"1139" 2013 17 "Mikhail Dmitriev" "Economics"
"1140" 2014 27 "Mikhail Dmitriev" "Economics"
"1141" 2015 17 "Mikhail Dmitriev" "Economics"
"1142" 2016 27 "Mikhail Dmitriev" "Economics"
"1143" 2017 23 "Mikhail Dmitriev" "Economics"
"1144" 2018 28 "Mikhail Dmitriev" "Economics"
"1145" 2019 35 "Mikhail Dmitriev" "Economics"
"1146" 2020 3 "Mikhail Dmitriev" "Economics"
"1147" 1999 18 "David Cooper" "Economics"
"1148" 2000 12 "David Cooper" "Economics"
"1149" 2001 30 "David Cooper" "Economics"
"1150" 2002 39 "David Cooper" "Economics"
"1151" 2003 44 "David Cooper" "Economics"
"1152" 2004 46 "David Cooper" "Economics"
"1153" 2005 57 "David Cooper" "Economics"
"1154" 2006 86 "David Cooper" "Economics"
"1155" 2007 98 "David Cooper" "Economics"
"1156" 2008 88 "David Cooper" "Economics"
"1157" 2009 159 "David Cooper" "Economics"
"1158" 2010 182 "David Cooper" "Economics"
"1159" 2011 217 "David Cooper" "Economics"
"1160" 2012 239 "David Cooper" "Economics"
"1161" 2013 229 "David Cooper" "Economics"
"1162" 2014 239 "David Cooper" "Economics"
"1163" 2015 289 "David Cooper" "Economics"
"1164" 2016 316 "David Cooper" "Economics"
"1165" 2017 284 "David Cooper" "Economics"
"1166" 2018 325 "David Cooper" "Economics"
"1167" 2019 359 "David Cooper" "Economics"
"1168" 2020 48 "David Cooper" "Economics"
"1169" 2015 5 "Javier Cano-Urbina" "Economics"
"1170" 2016 5 "Javier Cano-Urbina" "Economics"
"1171" 2017 11 "Javier Cano-Urbina" "Economics"
"1172" 2018 16 "Javier Cano-Urbina" "Economics"
"1173" 2019 15 "Javier Cano-Urbina" "Economics"
"1174" 2020 1 "Javier Cano-Urbina" "Economics"
"1175" 2016 1 "Luke Boosey" "Economics"
"1176" 2017 3 "Luke Boosey" "Economics"
"1177" 2018 9 "Luke Boosey" "Economics"
"1178" 2019 16 "Luke Boosey" "Economics"
"1179" 2020 7 "Luke Boosey" "Economics"
"1180" 2003 2 "Manoj Atolia" "Economics"
"1181" 2004 3 "Manoj Atolia" "Economics"
"1182" 2005 0 "Manoj Atolia" "Economics"
"1183" 2006 1 "Manoj Atolia" "Economics"
"1184" 2007 1 "Manoj Atolia" "Economics"
"1185" 2008 11 "Manoj Atolia" "Economics"
"1186" 2009 20 "Manoj Atolia" "Economics"
"1187" 2010 19 "Manoj Atolia" "Economics"
"1188" 2011 37 "Manoj Atolia" "Economics"
"1189" 2012 33 "Manoj Atolia" "Economics"
"1190" 2013 25 "Manoj Atolia" "Economics"
"1191" 2014 26 "Manoj Atolia" "Economics"
"1192" 2015 36 "Manoj Atolia" "Economics"
"1193" 2016 16 "Manoj Atolia" "Economics"
"1194" 2017 22 "Manoj Atolia" "Economics"
"1195" 2018 21 "Manoj Atolia" "Economics"
"1196" 2019 42 "Manoj Atolia" "Economics"
"1197" 2020 3 "Manoj Atolia" "Economics"
